IHE,5.718E8
JNJ,Johnson & Johnson,10.6
PFE,Pfizer Inc,8.56
MRK,Merck & Co Inc,7.92
LLY,Eli Lilly & Co,6.71
BMY,Bristol-Myers Squibb Co,6.22
AGN,Allergan plc,6.15
ZTS,Zoetis Inc,3.96
MYL,Mylan NV,3.92
JAZZ,JAZZ PHARMACEUTICALS PLC,3.07
MDCO,Medicines Co,2.58
PRGO,Perrigo Co PLC,2.4
TSRO,TESARO Inc,2.29
CTLT,Catalent Inc,2.11
MNK,Mallinckrodt PLC,2.03
PBH,Prestige Brands Holdings Inc,1.99
PCRX,Pacira Pharmaceuticals Inc/DE,1.85
IRWD,Ironwood Pharmaceuticals Inc,1.76
AKRX,Akorn Inc,1.72
AERI,Aerie Pharmaceuticals Inc,1.59
HZNP,Horizon Pharma Plc,1.41
FOLD,Amicus Therapeutics Inc,1.34
TBPH,THERAVANCE BIOPHARMA INC,1.3
DERM,Dermira Inc,1.29
INVA,INNOVIVA INC,1.28
CORT,Corcept Therapeutics Inc,1.27
SGYP,Synergy Pharmaceuticals Inc,1.24
TXMD,TherapeuticsMD Inc,1.22
ENDP,ENDO INTERNATIONAL PLC,1.2
SPPI,Spectrum Pharmaceuticals Inc,1.16
DEPO,Depomed Inc,1.02
VNDA,Vanda Pharmaceuticals Inc,0.99
LCI,Lannett Co Inc,0.96
PAHC,Phibro Animal Health Corp,0.93
RVNC,Revance Therapeutics Inc,0.91
ITCI,Intra-Cellular Therapies Inc,0.89
SCLN,SciClone Pharmaceuticals Inc,0.86
AMAG,AMAG Pharmaceuticals Inc,0.85
IPXL,Impax Laboratories Inc,0.82
AMPH,Amphastar Pharmaceuticals Inc,0.7
MACK,Merrimack Pharmaceuticals Inc,0.59
