SLYG,1.36E9
TTWO,Take-Two Interactive Software Inc,1.54
COHR,Coherent Inc,1.23
MASI,Masimo Corp,1.11
MKSI,MKS Instruments Inc,0.95
BLKB,Blackbaud Inc,0.94
HOMB,Home BancShares Inc/AR,0.9
SLCA,US Silica Holdings Inc,0.87
EVR,Evercore Partners Inc,0.82
MDSO,Medidata Solutions Inc,0.82
STL,Sterling Bancorp/DE,0.82
PNFP,Pinnacle Financial Partners Inc,0.8
COR,CoreSite Realty Corp,0.78
WAGE,WageWorks Inc,0.74
CMD,ProShares UltraShort Bloomberg Commodity,0.74
FFIN,First Financial Bankshares Inc,0.72
BGS,B&G Foods Inc,0.72
TCBI,Texas Capital Bancshares Inc,0.72
BCPC,Balchem Corp,0.7
AEIS,Advanced Energy Industries Inc,0.7
SJI,South Jersey Industries Inc,0.7
HA,Hawaiian Holdings Inc,0.69
JBT,John Bean Technologies Corp,0.68
LCII,LCI Industries,0.67
NGVT,Ingevity Corporation,0.66
LITE,Lumentum Holdings Inc,0.65
NEOG,Neogen Corp,0.64
DORM,Dorman Products Inc,0.63
EGP,EastGroup Properties Inc,0.61
ICUI,ICU Medical Inc,0.59
TTEK,Tetra Tech Inc,0.59
PLAY,Dave & Buster's Entertainment Inc,0.58
TIVO,TiVo Inc,0.57
KNX,Knight Transportation Inc,0.57
LXP,Lexington Realty Trust,0.56
FIVE,Five Below Inc,0.55
TREX,Trex Co Inc,0.55
CATM,Cardtronics Inc,0.55
PLCE,Children's Place Inc,0.55
STMP,Stamps.com Inc,0.54
ALGT,Allegiant Travel Co,0.54
PDCE,PDC Energy Inc,0.54
LGND,Ligand Pharmaceuticals Inc,0.54
HCSG,Healthcare Services Group Inc,0.53
ITRI,Itron Inc,0.52
UCBI,United Community Banks Inc/GA,0.52
AMN,AMN Healthcare Services Inc.,0.52
ZLTQ,Zeltiq Aesthetics Inc,0.51
POWI,Power Integrations Inc,0.5
GK,G&K Services Inc,0.48
GBCI,Glacier Bancorp Inc,0.48
MRCY,Mercury Systems Inc,0.48
IIVI,II-VI Inc,0.47
BLD,TopBuild Corp,0.46
SFBS,ServisFirst Bancshares Inc,0.45
LTXB,LegacyTexas Financial Group Inc,0.45
KWR,Quaker Chemical Corp,0.45
HW,Headwaters Inc,0.45
SSD,Simpson Manufacturing Co Inc,0.44
AAT,American Assets Trust Inc,0.44
ABCB,Ameris Bancorp,0.44
CCMP,Cabot Microelectronics Corp,0.44
CCOI,Cogent Communications Holdings Inc,0.44
NSP,Insperity Inc,0.44
