IWO,9.5600005E9
MSCC,Microsemi Corp,0.64
CC,Chemours Co,0.58
LOGM,LogMeIn Inc,0.55
AMD,Advanced Micro Devices Inc,0.54
TTWO,Take-Two Interactive Software Inc,0.53
OZRK,Bank of the Ozarks Inc,0.51
COHR,Coherent Inc,0.5
AZPN,Aspen Technology Inc,0.49
TSRO,TESARO Inc,0.47
FICO,Fair Isaac Corp,0.43
JCOM,j2 Global Inc,0.43
CAVM,Cavium Inc,0.43
MMS,MAXIMUS Inc,0.42
MASI,Masimo Corp,0.42
HLS,HealthSouth Corp,0.4
TEN,Tenneco Inc,0.4
SAIC,Science Applications International Corp,0.4
PRI,Primerica Inc,0.4
NUVA,NuVasive Inc,0.4
DLX,Deluxe Corp,0.39
WWD,Woodward Inc,0.39
MPWR,Monolithic Power Systems Inc,0.38
DFT,DuPont Fabros Technology Inc,0.38
SXT,Sensient Technologies Corp,0.38
BLKB,Blackbaud Inc,0.38
LFUS,Littelfuse Inc,0.38
OLED,Universal Display Corp,0.38
CRUS,Cirrus Logic Inc,0.38
EPAM,EPAM Systems Inc,0.37
SLCA,US Silica Holdings Inc,0.37
HOMB,Home BancShares Inc/AR,0.36
RARE,Ultragenyx Pharmaceutical Inc,0.36
PRXL,PAREXEL International Corp,0.36
MDCO,Medicines Co,0.36
PFPT,Proofpoint Inc,0.35
IDTI,Integrated Device Technology Inc,0.35
KITE,Kite Pharma Inc,0.35
LPX,Louisiana-Pacific Corp,0.35
ELLI,Ellie Mae Inc,0.35
CIEN,Ciena Corp,0.35
EXEL,Exelixis Inc,0.34
EVR,Evercore Partners Inc,0.34
MDSO,Medidata Solutions Inc,0.34
CW,Curtiss-Wright Corp,0.33
LOPE,Grand Canyon Education Inc,0.33
HCSG,Healthcare Services Group Inc,0.33
PBH,Prestige Brands Holdings Inc,0.33
BFAM,Bright Horizons Family Solutions Inc,0.32
CHE,Chemed Corp,0.32
COR,CoreSite Realty Corp,0.32
SLAB,Silicon Laboratories Inc,0.32
IDCC,InterDigital Inc/PA,0.31
BDC,Belden Inc,0.31
BECN,Beacon Roofing Supply Inc,0.31
CBRL,Cracker Barrel Old Country Store Inc,0.31
VSAT,ViaSat Inc,0.31
DY,Dycom Industries Inc,0.31
CTLT,Catalent Inc,0.31
CAKE,Cheesecake Factory Inc,0.3
WAGE,WageWorks Inc,0.3
POL,PolyOne Corp,0.3
TXRH,Texas Roadhouse Inc,0.3
CMD,ProShares UltraShort Bloomberg Commodity,0.3
GRUB,GrubHub Inc,0.3
BGS,B&G Foods Inc,0.29
RHP,Ryman Hospitality Properties Inc,0.29
BWLD,Buffalo Wild Wings Inc,0.29
ESNT,Essent Group Ltd,0.29
HELE,Helen of Troy Ltd,0.29
BCPC,Balchem Corp,0.28
SBGI,Sinclair Broadcast Group Inc,0.28
NHI,National Health Investors Inc,0.28
MTZ,MasTec Inc,0.28
CLVS,Clovis Oncology Inc,0.28
HA,Hawaiian Holdings Inc,0.28
JBT,John Bean Technologies Corp,0.28
IART,Integra LifeSciences Holdings Corp,0.28
SUM,Summit Materials Inc,0.27
ACIW,ACI Worldwide Inc,0.27
PODD,Insulet Corp,0.27
AEIS,Advanced Energy Industries Inc,0.27
FUL,HB Fuller Co,0.27
CEB,CEB Inc,0.27
GNRC,Generac Holdings Inc,0.27
JACK,Jack in the Box Inc,0.27
HZNP,Horizon Pharma Plc,0.27
BGCP,BGC Partners Inc,0.26
LCII,LCI INDUSTRIES,0.26
LANC,Lancaster Colony Corp,0.26
PAYC,Paycom Software Inc,0.26
ASGN,On Assignment Inc,0.26
DOOR,Masonite International Corp,0.26
NEOG,Neogen Corp,0.25
UE,Urban Edge Properties,0.25
BCO,Brink's Co,0.25
WOR,Worthington Industries Inc,0.25
SHOO,Steven Madden Ltd,0.25
LITE,Lumentum Holdings Inc,0.24
EGP,EastGroup Properties Inc,0.24
PLAY,Dave & Buster's Entertainment Inc,0.24
FNGN,Financial Engines Inc,0.24
IRWD,Ironwood Pharmaceuticals Inc,0.24
HRG,HRG Group Inc,0.24
QTS,QTS Realty Trust Inc,0.24
ZEN,Zendesk Inc,0.24
NVRO,Nevro Corp,0.24
NKTR,Nektar Therapeutics,0.24
EXAS,Exact Sciences Corp,0.23
PSB,PS Business Parks Inc,0.23
PLCE,Children's Place Inc,0.23
SMTC,Semtech Corp,0.23
LAD,Lithia Motors Inc,0.23
BIG,Big Lots Inc,0.23
CPE,Callon Petroleum Co,0.23
EFII,Electronics For Imaging Inc,0.23
AEO,American Eagle Outfitters Inc,0.23
MATW,Matthews International Corp,0.23
HI,Hillenbrand Inc,0.23
STMP,Stamps.com Inc,0.23
TREX,Trex Co Inc,0.22
DORM,Dorman Products Inc,0.22
HNI,HNI Corp,0.22
MTDR,Matador Resources Co,0.22
ALGT,Allegiant Travel Co,0.22
CATM,Cardtronics Inc,0.22
SAGE,Sage Therapeutics Inc,0.22
CMPR,Cimpress NV,0.22
CHDN,Churchill Downs Inc,0.22
FIVE,Five Below Inc,0.22
PZZA,Papa John's International Inc,0.22
NXST,Nexstar Broadcasting Group Inc,0.22
ROLL,RBC Bearings Inc,0.22
LGND,Ligand Pharmaceuticals Inc,0.22
NGVT,INGEVITY CORP,0.22
KNX,Knight Transportation Inc,0.22
CSOD,Cornerstone OnDemand Inc,0.22
STAG,STAG Industrial Inc,0.22
JJSF,J&J Snack Foods Corp,0.21
ITRI,Itron Inc,0.21
GCP,GCP APPLIED TECHNOLOGIES INC,0.21
PEN,PENUMBRA INC,0.21
AMN,AMN Healthcare Services Inc,0.21
HQY,HealthEquity Inc,0.21
ZLTQ,Zeltiq Aesthetics Inc,0.21
ENTG,Entegris Inc,0.21
RP,RealPage Inc,0.21
GMED,Globus Medical Inc,0.21
WBMD,WebMD Health Corp,0.21
HAWK,Blackhawk Network Holdings Inc,0.21
TSE,Trinseo SA,0.21
CVLT,CommVault Systems Inc,0.2
IMAX,IMAX Corp,0.2
PRTA,PROTHENA PLC,0.2
INCR,INC Research Holdings Inc,0.2
MWA,Mueller Water Products Inc,0.2
BLMN,Bloomin' Brands Inc,0.2
HUBS,HubSpot Inc,0.2
RLI,RLI Corp,0.2
MLHR,Herman Miller Inc,0.19
ABCO,Advisory Board Co,0.19
