FXH,1.07000006E9
ANTM,Anthem Inc,2.37
BAX,Baxter International Inc,2.36
UHS,Universal Health Services Inc,2.3
VWR,VWR Corp,2.25
LPNT,LifePoint Health Inc,2.22
UNH,UnitedHealth Group Inc,2.16
DVA,DaVita HealthCare Partners Inc,2.16
HUM,Humana Inc,2.16
WOOF,VCA Inc,2.14
WCG,WellCare Health Plans Inc,2.12
IDXX,IDEXX Laboratories Inc,2.11
EVHC,Envision Healthcare Holdings Inc,2.06
UTHR,United Therapeutics Corp,2.05
HRC,Hill-Rom Holdings Inc,1.99
WST,West Pharmaceutical Services Inc,1.97
MNK,Mallinckrodt PLC,1.96
ESRX,Express Scripts Holding Co,1.93
VEEV,Veeva Systems Inc,1.89
MDRX,Allscripts Healthcare Solutions Inc,1.89
MDT,Medtronic PLC,1.88
CI,Cigna Corp,1.86
ALGN,Align Technology Inc,1.85
INCY,Incyte Corp,1.84
LH,Laboratory Corp of America Holdings,1.81
JNJ,Johnson & Johnson,1.8
DGX,Quest Diagnostics Inc,1.75
AET,Aetna Inc,1.74
Q,Quintiles Transnational Holdings Inc,1.71
MD,MEDNAX Inc,1.7
BKD,Brookdale Senior Living Inc,1.59
SGEN,Seattle Genetics Inc,1.54
CNC,Centene Corp,1.46
CAH,Cardinal Health Inc,1.4
HCA,HCA Holdings Inc,1.39
TMO,Thermo Fisher Scientific Inc,1.38
AGN,Allergan plc,1.38
DHR,Danaher Corp,1.36
MYL,Mylan NV,1.35
SYK,Stryker Corp,1.34
COO,Cooper Cos Inc,1.34
XRAY,DENTSPLY International Inc,1.33
MRK,Merck & Co Inc,1.33
CELG,Celgene Corp,1.32
PKI,PerkinElmer Inc,1.31
ENDP,Endo International Plc,1.29
TFX,Teleflex Inc,0.98
A,Agilent Technologies Inc,0.95
ZBH,Zimmer Biomet Holdings Inc,0.93
ABC,AmerisourceBergen Corp,0.92
VAR,Varian Medical Systems Inc,0.91
BDX,Becton Dickinson and Co,0.9
BCR,CR Bard Inc,0.9
PDCO,Patterson Cos Inc,0.9
ABMD,ABIOMED Inc,0.88
PFE,Pfizer Inc,0.86
HOLX,Hologic Inc,0.86
ABBV,AbbVie Inc,0.85
ALKS,Alkermes Plc,0.83
ZTS,Zoetis Inc,0.82
ALR,Alere Inc,0.77
ACHC,Acadia Healthcare Co Inc,0.51
CRL,Charles River Laboratories International Inc,0.48
ABT,Abbott Laboratories,0.47
HSIC,Henry Schein Inc,0.46
RMD,ResMed Inc,0.46
BSX,Boston Scientific Corp,0.46
BIO,Bio-Rad Laboratories Inc,0.46
BIIB,Biogen Inc,0.45
QGEN,QIAGEN NV,0.43
TECH,Bio-Techne Corp,0.42
PINC,Premier Inc,0.41
EW,Edwards Lifesciences Corp,0.4
ALXN,Alexion Pharmaceuticals Inc,0.4
OPK,OPKO Health Inc,0.35
IONS,Ionis Pharmaceuticals Inc.,0.35
MISXX,Morgan Stanley Institutional Liquidity Funds - Treasury Portfolio,0.11
