DTD,6.6088998E8
440 HK,Dah Sing Financial Holdings Ltd,0.0
5453 JT,Toyo Kohan Co Ltd,0.0
DTY.LS,Dignity PLC,0.0
6136 JT,OSG Corp,0.0
HSV.LS,HomeServe PLC,0.0
COM GY,comdirect bank AG,0.0
TPT.LS,Topps Tiles PLC,0.0
MOC.AX,Mortgage Choice Ltd,0.0
CARD.LS,Card Factory PLC,0.0
8396 JT,Eighteenth Bank Ltd,0.0
MDF SM,Duro Felguera SA,0.0
PKC1V FH,PKC Group Oyj,0.0
SWECB SS,Sweco AB,0.0
1518 JP,Mitsui Matsushima Co,0.0
SIV.LS,St Ives PLC,0.0
5021 JP,Cosmo Energy Holdings Co Ltd,0.0
1788 HK,Guotai Junan International Holdings Ltd,0.0
8356 JT,Juroku Bank Ltd,0.0
9928 JP,Miroku Jyoho Service Co Ltd,0.0
MLC.LS,Millennium & Copthorne Hotels PLC,0.0
8086 JT,Nipro Corp,0.0
8366 JT,Shiga Bank Ltd,0.0
SGH.AX,Slater & Gordon Ltd,0.0
488 HK,Lai Sun Development Co Ltd,0.0
8359 JT,Hachijuni Bank Ltd,0.0
BYW6 GY,BayWa AG,0.0
KLEDTR SS,Kungsleden AB-Rts,0.0
CE2 GR,CropEnergies AG,0.0
4631 JT,DIC Corp,0.0
ECX.AX,Eclipx Group Limited,0.0
PVA SM,Pescanova SA,0.0
KUD SW,Kudelski SA,0.0
9783 JT,Benesse Holdings Inc,0.0
3028 JT,Alpen Co Ltd,0.0
MAB.LS,Mitchells & Butlers PLC,0.0
SRV.AX,Servcorp Ltd,0.0
3436 JT,Sumco Corp,0.0
3087 JT,Doutor Nichires Holdings Co Ltd,0.0
DUNI SS,Duni AB,0.0
CWD.LS,Countrywide PLC,0.0
8377 JT,Hokuhoku Financial Group Inc,0.0
LWB.LS,Low & Bonar PLC,0.0
ABG.LS,Acacia Mining PLC,0.0
RFG.AX,Retail Food Group Ltd,0.0
ANN.AX,Ansell Ltd,0.0
8381 JT,San-In Godo Bank Ltd,0.0
FDSA.LS,Fidessa Group PLC,0.0
TIM GR,Zeal Network SE,0.0
308 HK,China Travel International Investment Hong Kong Ltd,0.0
6915 JP,Chiyoda Integre Co Ltd,0.0
8133 JT,Itochu Enex Co Ltd,0.0
3151 JT,Vital KSK Holdings Inc,0.0
FXJ.AX,Fairfax Media Ltd,0.0
6463 JT,TPR Co Ltd,0.0
IRV.LS,Interserve PLC,0.0
9948 JT,Arcs Co Ltd,0.0
AGT SP,Accordia Golf Trust,0.0
PLP.LS,Polypipe Group plc,0.0
SIP.AX,Sigma Pharmaceuticals Ltd,0.0
5011 JT,Nichireki Co Ltd,0.0
SAA1V FH,Sanoma OYJ,0.0
4095 JT,Nihon Parkerizing Co Ltd,0.0
345 HK,Vitasoy International Holdings Ltd,0.0
MSLH.LS,Marshalls PLC,0.0
CASS IM,Societa Cattolica di Assicurazioni SCRL,0.0
COF IM,Cofide SpA,0.0
8385 JT,Iyo Bank Ltd,0.0
SAE IT,Shufersal Ltd,0.0
VALMT FH,Valmet Corp,0.0
SVEG NO,Sparebanken Vest-Norge,0.0
ECONB BB,Econocom Group SA/NV,0.0
9119 JT,Iino Kaiun Kaisha Ltd,0.0
PGH.AX,Pact Group Holdings Ltd,0.0
7313 JT,TS Tech Co Ltd,0.0
MFT NZ,Mainfreight Ltd,0.0
BRAV SS,Bravida Holding AB,0.0
ATRLJB SS,Atrium Ljungberg AB,0.0
8098 JT,Inabata & Co Ltd,0.0
3863 JT,Nippon Paper Industries Co Ltd,0.0
4681 JT,Resorttrust Inc,0.0
LOOMB SS,Loomis AB,0.0
7242 JT,KYB Co Ltd,0.0
3167 JT,TOKAI Holdings Corp,0.0
8051 JT,Yamazen Corp,0.0
KPG NZ,Kiwi Property Group Ltd,0.0
5331 JT,Noritake Co Ltd/Nagoya Japan,0.0
FRE NZ,Freightways Ltd,0.0
8558 JT,Towa Bank Ltd,0.0
DLX.AX,DuluxGroup Ltd,0.0
STHR.LS,SThree PLC,0.0
3360 JT,Ship Healthcare Holdings Inc,0.0
9412 JT,SKY Perfect JSAT Holdings Inc,0.0
SUL.AX,Super Retail Group Ltd,0.0
3132 JP,Macnica Fuji Electronics Holdings Inc,0.0
8713 JT,FIDEA Holdings Co Ltd,0.0
8386 JT,Hyakujushi Bank Ltd,0.0
VER AV,Verbund AG,0.0
7740 JT,Tamron Co Ltd,0.0
3808 HK,Sinotruk Hong Kong Ltd,0.0
6486 JT,Eagle Industry Co Ltd,0.0
FENR.LS,Fenner PLC,0.0
6703 JT,Oki Electric Industry Co Ltd,0.0
OSB.LS,OneSavings Bank PLC,0.0
CNCT.LS,Smiths News PLC,0.0
8616 JP,Tokai Tokyo Financial Holdings Inc,0.0
RAIVV FH,Raisio Oyj,0.0
9076 JT,Seino Holdings Co Ltd,0.0
AT IM,ASTM SpA,0.0
SGC.LS,Stagecoach Group PLC,0.0
SKL NZ,Skellerup Holdings Ltd,0.0
2501 JT,Sapporo Holdings Ltd,0.0
7817 JT,Paramount Bed Holdings Co Ltd,0.0
MARR IM,MARR SpA,0.0
JLG.LS,John Laing Group PLC,0.0
MTO.LS,Mitie Group PLC,0.0
7862 JT,Toppan Forms Co Ltd,0.0
BRNL NA,Brunel International NV,0.0
8370 JT,Kiyo Bank Ltd,0.0
2681 JT,Geo Holdings Corp,0.0
VT9 GY,VTG AG,0.0
8334 JT,Gunma Bank Ltd,0.0
ARB.AX,ARB Corp Ltd,0.0
ALU.AX,Altium Ltd,0.0
6816 JT,Alpine Electronics Inc,0.0
SRBANK NO,SpareBank 1 SR-Bank ASA,0.0
9946 JT,Ministop Co Ltd,0.0
4980 JP,Dexerials Corp.,0.0
JRG.LS,Just Retirement Group PLC,0.0
IF IM,Banca IFIS SpA,0.0
CAP GR,Capital Stage AG,0.0
8876 JT,Relo Holdings Inc,0.0
9375 JT,Kintetsu World Express Inc,0.0
BILIA SS,Bilia AB,0.0
ALIG SS,Alimak Group AB,0.0
5393 JT,Nichias Corp,0.0
1954 JT,Nippon Koei Co Ltd,0.0
8283 JT,PALTAC CORPORATION,0.0
7483 JT,Doshisha Co Ltd,0.0
NETB SS,NetEnt AB,0.0
IMCD NA,IMCD Group NV,0.0
CAR.AX,Carsales.Com Ltd,0.0
EMIS.LS,EMIS Group PLC,0.0
6584 JT,Sanoh Industrial Co Ltd,0.0
SAFE.LS,Safestore Holdings PLC,0.0
OZL.AX,OZ Minerals Ltd,0.0
ASB.AX,Austal Ltd,0.0
6028 JP,TechnoPro Holdings Inc,0.0
4527 JT,Rohto Pharmaceutical Co Ltd,0.0
6845 JT,Azbil Corp,0.0
COIC SS,Concentric AB,0.0
9956 JT,Valor Co Ltd,0.0
THULE SS,Thule Group AB,0.0
SIS IM,Societa Iniziative Autostradali e Servizi SpA,0.0
6406 JT,Fujitec Co Ltd,0.0
4272 JT,Nippon Kayaku Co Ltd,0.0
45 HK,Hongkong & Shanghai Hotels Ltd,0.0
IFT NZ,Infratil Ltd,0.0
6413 JT,Riso Kagaku Corp,0.0
SPI AV,S IMMO AG,0.0
7414 JT,Onoken Co Ltd,0.0
GBB FP,Bourbon SA,0.0
5191 JT,Sumitomo Riko Co Ltd,0.0
9787 JT,Aeon Delight Co Ltd,0.0
ADDTB SS,AddTech AB,0.0
TKTT FP,Tarkett SA,0.0
ABIO FP,ALBIOMA,0.0
8012 JT,Nagase & Co Ltd,0.0
BGA.AX,Bega Cheese Ltd,0.0
MYCR SS,Mycronic AB,0.0
6409 JT,Kito Corp,0.0
1333 JT,Maruha Nichiro Seafoods Inc,0.0
NZR NZ,New Zealand Refining Co Ltd,0.0
6889 HK,Dynam Japan Holdings Co Ltd,0.0
BHY.LS,Henry Boot PLC,0.0
SSG SP,Sheng Siong Group Ltd,0.0
MTRN IT,Maytronics Ltd.,0.0
ERG IM,ERG SpA,0.0
5195 JT,Bando Chemical Industries Ltd,0.0
6995 JT,Tokai Rika Co Ltd,0.0
9304 JP,Shibusawa Warehouse Co Ltd,0.0
DFE,WisdomTree Europe SmallCap Dividend Fund,0.0
GRNG SS,Granges AB,0.0
4045 JP,Toagosei Co Ltd,0.0
4680 JT,Round One Corp,0.0
SIX2 GY,Sixt SE,0.0
8097 JT,San-Ai Oil Co Ltd,0.0
MGDL IT,Migdal Insurance & Financial Holding Ltd,0.0
8361 JT,Ogaki Kyoritsu Bank Ltd,0.0
PHR PL,PHarol SGPS SA,0.0
1866 JT,Kitano Construction Corp,0.0
KCOM.LS,KCOM Group PLC,0.0
TNI.LS,Trinity Mirror PLC,0.0
ASC IM,Ascopiave SpA,0.0
RCDO.LS,Ricardo PLC,0.0
4208 JT,Ube Industries Ltd,0.0
2613 JT,J-Oil Mills Inc,0.0
IRE.AX,IRESS Ltd,0.0
6407 JT,CKD Corp,0.0
GRG.LS,Greggs PLC,0.0
DIFI IT,Direct Insurance-Financial Investments Ltd.,0.0
RHK GY,RHOEN-KLINIKUM AG,0.0
8217 JT,Okuwa Co Ltd,0.0
GOG.LS,Go-Ahead Group PLC,0.0
9086 JT,Hitachi Transport System Ltd,0.0
8379 JT,Hiroshima Bank Ltd,0.0
CVO.AX,Cover-More Group Ltd,0.0
1911 JT,Sumitomo Forestry Co Ltd,0.0
6454 JT,Max Co Ltd,0.0
ATE FP,Alten SA,0.0
7447 JT,Nagaileben Co Ltd,0.0
1942 JT,Kandenko Co Ltd,0.0
LRD.LS,Laird PLC,0.0
AOX GR,alstria office REIT-AG,0.0
JSG.LS,Johnson Service Group PLC,0.0
8016 JT,Onward Holdings Co Ltd,0.0
4997 JT,Nihon Nohyaku Co Ltd,0.0
4061 JT,Denki Kagaku Kogyo KK,0.0
PRG.AX,Programmed Maintenance Services Ltd,0.0
4062 JT,Ibiden Co Ltd,0.0
8360 JT,Yamanashi Chuo Bank Ltd,0.0
6472 JT,NTN Corp,0.0
RRL.AX,Regis Resources Ltd,0.0
ONTEX BB,Ontex Group NV,0.0
MEKO SS,Mekonomen AB,0.0
CINE.LS,Cineworld Group PLC,0.0
IBST.LS,Ibstock Plc,0.0
9810 JT,Nippon Steel & Sumikin Bussan Corp,0.0
6755 JT,Fujitsu General Ltd,0.0
EVT.AX,Event Hospitality and Entertainment Ltd,0.0
9405 JP,Asahi Broadcasting Corp,0.0
TED.LS,Ted Baker PLC,0.0
2685 JT,Adastria Co Ltd,0.0
WIHL SS,Wihlborgs Fastigheter AB,0.0
3106 JT,Kurabo Industries Ltd,0.0
AZA SS,Avanza Bank Holding AB,0.0
8185 JT,Chiyoda Co Ltd,0.0
WUW GR,Wuestenrot & Wuertt AG,0.0
7537 JP,Marubun Corp,0.0
TTK GY,Takkt AG,0.0
3076 JT,Ai Holdings Corp,0.0
MIN.AX,Mineral Resources Ltd,0.0
AGI.AX,Ainsworth Game Technology Ltd,0.0
IBLD IT,Industrial Buildings Corp Ltd,0.0
ITE.LS,ITE Group PLC,0.0
TPW NZ,TrustPower Ltd,0.0
NRS NO,Norway Royal Salmon ASA,0.0
3626 JT,IT Holdings Corp,0.0
AKTAV FH,Aktia Bank OYJ,0.0
6412 JT,Heiwa Corp,0.0
8150 JT,Sanshin Electronics Co Ltd,0.0
AHY.AX,Asaleo Care Ltd,0.0
6581 JT,Hitachi Koki Co Ltd,0.0
SCYR SM,Sacyr SA,0.0
5186 JT,Nitta Corp,0.0
OHL SM,Obrascon Huarte Lain SA,0.0
6457 JT,Glory Ltd,0.0
GEM.AX,G8 Education Ltd,0.0
1813 JT,Fudo Tetra Corp,0.0
XXL NO,XXL ASA,0.0
7517 JT,Kuroda Electric Co Ltd,0.0
8609 JP,Okasan Securities Group Inc,0.0
PLAZB SS,Platzer Fastigheter Holding AB,0.0
UMSH SP,UMS Holdings Ltd,0.0
9715 JT,Transcosmos Inc,0.0
HILS.LS,Hill & Smith Holdings PLC,0.0
