XLV,1.79300004E10
JNJ,Johnson & Johnson,11.98
PFE,Pfizer Inc,7.18
MRK,Merck & Co Inc,6.09
UNH,UnitedHealth Group Inc,5.63
AMGN,Amgen Inc,4.64
MDT,Medtronic PLC,3.92
ABBV,AbbVie Inc,3.69
CELG,Celgene Corp,3.36
BMY,Bristol-Myers Squibb Co,3.3
GILD,Gilead Sciences Inc,3.08
AGN,Allergan plc,2.91
LLY,Eli Lilly & Co,2.85
ABT,Abbott Laboratories,2.25
BIIB,Biogen Inc,2.22
TMO,Thermo Fisher Scientific Inc,2.17
DHR,Danaher Corp,1.81
AET,Aetna Inc,1.65
ANTM,Anthem Inc,1.56
ESRX,Express Scripts Holding Co,1.46
SYK,Stryker Corp,1.43
CI,Cigna Corp,1.39
BDX,Becton Dickinson and Co,1.37
HUM,Humana Inc,1.19
BSX,Boston Scientific Corp,1.15
MCK,McKesson Corp,1.1
REGN,Regeneron Pharmaceuticals Inc,1.02
ISRG,Intuitive Surgical Inc,0.98
ALXN,Alexion Pharmaceuticals Inc,0.93
CAH,Cardinal Health Inc,0.92
INCY,Incyte Corp,0.91
ZTS,Zoetis Inc,0.91
BAX,Baxter International Inc,0.88
HCA,HCA Holdings Inc,0.85
ILMN,Illumina Inc,0.83
ZBH,Zimmer Biomet Holdings Inc,0.83
VRTX,Vertex Pharmaceuticals Inc,0.8
EW,Edwards Lifesciences Corp,0.68
MYL,Mylan NV,0.67
BCR,CR Bard Inc,0.67
A,Agilent Technologies Inc,0.59
CERN,Cerner Corp,0.57
ABC,AmerisourceBergen Corp,0.53
LH,Laboratory Corp of America Holdings,0.5
XRAY,DENTSPLY International Inc,0.5
IDXX,IDEXX Laboratories Inc,0.5
DGX,Quest Diagnostics Inc,0.49
HSIC,Henry Schein Inc,0.47
WAT,Waters Corp,0.43
MTD,Mettler-Toledo International Inc,0.43
CNC,Centene Corp,0.4
HOLX,Hologic Inc,0.4
UHS,Universal Health Services Inc,0.37
DVA,DaVita HealthCare Partners Inc,0.37
PRGO,Perrigo Co PLC,0.34
COO,Cooper Cos Inc,0.32
VAR,Varian Medical Systems Inc,0.28
EVHC,Envision Healthcare Holdings Inc,0.27
PKI,PerkinElmer Inc,0.21
46729666,SSC GOVERNMENT MM GVXX STIF USD,0.19
MNK,Mallinckrodt PLC,0.17
PDCO,Patterson Cos Inc,0.13
Identifier,Name,0.0
CASH_USD,U.S. Dollar,0.0
