IWM,4.4099998E10
AMD,Advanced Micro Devices Inc,0.55
CC,Chemours Co,0.33
MSCC,Microsemi Corp,0.31
OLN,Olin Corp,0.28
EXEL,Exelixis Inc,0.27
LOGM,LogMeIn Inc,0.27
NRZ,New Residential Investment Corp,0.26
XPO,XPO Logistics Inc,0.25
WBS,Webster Financial Corp,0.25
TTWO,Take-Two Interactive Software Inc,0.25
FNB,FNB Corp/PA,0.25
PB,Prosperity Bancshares Inc,0.25
OZRK,Bank of the Ozarks Inc,0.25
COHR,Coherent Inc,0.24
CAVM,Cavium Inc,0.24
AZPN,Aspen Technology Inc,0.23
PVTB,PrivateBancorp Inc,0.23
TDY,Teledyne Technologies Inc,0.23
TSRO,TESARO Inc,0.22
ISBC,Investors Bancorp Inc,0.22
CW,Curtiss-Wright Corp,0.22
TCBI,Texas Capital Bancshares Inc,0.22
WGL,WGL Holdings Inc,0.21
IDA,IDACORP Inc,0.21
RDN,Radian Group Inc,0.21
JCOM,j2 Global Inc,0.21
FICO,Fair Isaac Corp,0.21
POR,Portland General Electric Co,0.21
UMPQ,Umpqua Holdings Corp,0.21
MMS,MAXIMUS Inc,0.2
BLUE,Bluebird Bio Inc,0.2
MENT,Mentor Graphics Corp,0.2
HPP,Hudson Pacific Properties Inc,0.2
MASI,Masimo Corp,0.2
RSPP,RSP Permian Inc,0.2
HBHC,Hancock Holding Co,0.2
SWX,Southwest Gas Corp,0.2
EME,EMCOR Group Inc,0.2
HLS,HealthSouth Corp,0.2
PRI,Primerica Inc,0.2
TEN,Tenneco Inc,0.19
SAIC,Science Applications International Corp,0.19
NUVA,NuVasive Inc,0.19
WTFC,Wintrust Financial Corp,0.19
MTG,MGIC Investment Corp,0.19
GPT,Gramercy Property Trust Inc,0.19
MPW,Medical Properties Trust Inc,0.19
DLX,Deluxe Corp,0.19
PDCE,PDC Energy Inc,0.19
MDCO,Medicines Co,0.19
WWD,Woodward Inc,0.19
MKSI,MKS Instruments Inc,0.19
DFT,DuPont Fabros Technology Inc,0.18
IBKC,IBERIABANK Corp,0.18
SXT,Sensient Technologies Corp,0.18
BLKB,Blackbaud Inc,0.18
MPWR,Monolithic Power Systems Inc,0.18
LFUS,Littelfuse Inc,0.18
OLED,Universal Display Corp,0.18
CHFC,Chemical Financial Corp,0.18
HR,Healthcare Realty Trust Inc,0.18
CRUS,Cirrus Logic Inc,0.18
SNX,SYNNEX Corp,0.18
LPX,Louisiana-Pacific Corp,0.18
EPAM,EPAM Systems Inc,0.18
SLCA,US Silica Holdings Inc,0.18
UMBF,UMB Financial Corp,0.18
BKH,Black Hills Corp,0.18
SF,Stifel Financial Corp,0.17
HOMB,Home BancShares Inc/AR,0.17
OGS,ONE Gas Inc,0.17
RARE,Ultragenyx Pharmaceutical Inc,0.17
NTCT,NetScout Systems Inc,0.17
PRXL,PAREXEL International Corp,0.17
VSAT,ViaSat Inc,0.17
MBFI,MB Financial Inc,0.17
ENS,EnerSys,0.17
ALE,ALLETE Inc,0.17
TECD,Tech Data Corp,0.17
NJR,New Jersey Resources Corp,0.17
GEO,GEO Group Inc,0.17
PFPT,Proofpoint Inc,0.17
IDTI,Integrated Device Technology Inc,0.17
KITE,Kite Pharma Inc,0.17
CIEN,Ciena Corp,0.17
ELLI,Ellie Mae Inc,0.17
LNCE,Snyder's-Lance Inc,0.17
JACK,Jack in the Box Inc,0.16
FULT,Fulton Financial Corp,0.16
SHO,Sunstone Hotel Investors Inc,0.16
MDSO,Medidata Solutions Inc,0.16
EVR,Evercore Partners Inc,0.16
CNO,CNO Financial Group Inc,0.16
PNFP,Pinnacle Financial Partners Inc,0.16
ENTG,Entegris Inc,0.16
LHO,LaSalle Hotel Properties,0.16
OAS,Oasis Petroleum Inc,0.16
KMT,Kennametal Inc,0.16
CBRL,Cracker Barrel Old Country Store Inc,0.16
LOPE,Grand Canyon Education Inc,0.16
FR,First Industrial Realty Trust Inc,0.16
PBH,Prestige Brands Holdings Inc,0.16
CACI,CACI International Inc,0.16
HCSG,Healthcare Services Group Inc,0.16
STL,Sterling Bancorp/DE,0.16
UBSI,United Bankshares Inc/WV,0.15
NXST,Nexstar Broadcasting Group Inc,0.15
WAFD,Washington Federal Inc,0.15
BFAM,Bright Horizons Family Solutions Inc,0.15
VLY,Valley National Bancorp,0.15
CHE,Chemed Corp,0.15
COR,CoreSite Realty Corp,0.15
WMGI,Wright Medical Group Inc,0.15
IDCC,InterDigital Inc/PA,0.15
WNR,Western Refining Inc,0.15
SANM,Sanmina Corp,0.15
BDC,Belden Inc,0.15
SLAB,Silicon Laboratories Inc,0.15
DAN,Dana Holding Corp,0.15
PNM,PNM Resources Inc,0.15
SR,Standard Register Co,0.15
BECN,Beacon Roofing Supply Inc,0.15
EDR,Education Realty Trust Inc,0.15
DY,Dycom Industries Inc,0.15
CATY,Cathay General Bancorp,0.15
CTLT,Catalent Inc,0.15
POL,PolyOne Corp,0.14
FNSR,Finisar Corp,0.14
CAKE,Cheesecake Factory Inc,0.14
WAGE,WageWorks Inc,0.14
NWE,NorthWestern Corp,0.14
BWLD,Buffalo Wild Wings Inc,0.14
TXRH,Texas Roadhouse Inc,0.14
RLJ,RLJ Lodging Trust,0.14
CMD,ProShares UltraShort Bloomberg Commodity,0.14
GRUB,GrubHub Inc,0.14
JOY,Joy Global Inc,0.14
BGS,B&G Foods Inc,0.14
RHP,Ryman Hospitality Properties Inc,0.14
CUZ,Cousins Properties Inc,0.14
CLF,Cliffs Natural Resources Inc,0.14
ESNT,Essent Group Ltd,0.14
BXS,BancorpSouth Inc,0.14
SBGI,Sinclair Broadcast Group Inc,0.14
HELE,Helen of Troy Ltd,0.14
FFIN,First Financial Bankshares Inc,0.14
SJI,South Jersey Industries Inc,0.14
BCPC,Balchem Corp,0.14
GBCI,Glacier Bancorp Inc,0.14
AEIS,Advanced Energy Industries Inc,0.14
ESL,Esterline Technologies Corp,0.14
GWB,Great Western Bancorp Inc,0.13
CLVS,Clovis Oncology Inc,0.13
NHI,National Health Investors Inc,0.13
FCNCA,First Citizens BancShares Inc/NC,0.13
HOPE,HOPE BANCORP INC,0.13
MTZ,MasTec Inc,0.13
ODP,Office Depot Inc,0.13
JBT,John Bean Technologies Corp,0.13
IART,Integra LifeSciences Holdings Corp,0.13
HA,Hawaiian Holdings Inc,0.13
AKS,AK Steel Holding Corp,0.13
ACIW,ACI Worldwide Inc,0.13
SUM,Summit Materials Inc,0.13
PODD,Insulet Corp,0.13
GLNG,Golar LNG Ltd,0.13
MTX,Minerals Technologies Inc,0.13
FUL,HB Fuller Co,0.13
CEB,CEB Inc,0.13
B,Barnes Group Inc,0.13
NGVT,INGEVITY CORP,0.13
DOC,Physicians Realty Trust,0.13
SIGI,Selective Insurance Group Inc,0.13
GNRC,Generac Holdings Inc,0.13
AVA,Avista Corp,0.13
HZNP,Horizon Pharma Plc,0.13
VRNT,Verint Systems Inc,0.13
BGCP,BGC Partners Inc,0.13
AKR,Acadia Realty Trust,0.13
ABM,ABM Industries Inc,0.13
LANC,Lancaster Colony Corp,0.13
PAYC,Paycom Software Inc,0.13
EGP,EastGroup Properties Inc,0.12
ROIC,Retail Opportunity Investments Corp,0.12
TTEK,Tetra Tech Inc,0.12
LITE,Lumentum Holdings Inc,0.12
ASGN,On Assignment Inc,0.12
CLI,Mack-Cali Realty Corp,0.12
LCII,LCI INDUSTRIES,0.12
CBU,Community Bank System Inc,0.12
KLXI,KLX Inc,0.12
GATX,GATX Corp,0.12
DOOR,Masonite International Corp,0.12
WWW,Wolverine World Wide Inc,0.12
CTB,Cooper Tire & Rubber Co,0.12
AEO,American Eagle Outfitters Inc,0.12
ONB,Old National Bancorp/IN,0.12
UE,Urban Edge Properties,0.12
NEOG,Neogen Corp,0.12
AXE,Anixter International Inc,0.12
CVBF,CVB Financial Corp,0.12
GCP,GCP APPLIED TECHNOLOGIES INC,0.12
BID,Sotheby's,0.12
BCO,Brink's Co,0.12
SSB,South State Corp,0.12
DAR,Darling Ingredients Inc,0.12
LXP,Lexington Realty Trust,0.12
WOR,Worthington Industries Inc,0.12
SHOO,Steven Madden Ltd,0.12
MDP,Meredith Corp,0.12
VIAV,VIAVI SOLUTIONS INC,0.12
RLI,RLI Corp,0.12
WRE,Washington Real Estate Investment Trust,0.12
PLAY,Dave & Buster's Entertainment Inc,0.11
ORA,Ormat Technologies Inc,0.11
COLB,Columbia Banking System Inc,0.11
IRWD,Ironwood Pharmaceuticals Inc,0.11
FNGN,Financial Engines Inc,0.11
ICUI,ICU Medical Inc,0.11
OMI,Owens & Minor Inc,0.11
SEMG,SemGroup Corp,0.11
QTS,QTS Realty Trust Inc,0.11
CMC,Commercial Metals Co,0.11
HRG,HRG Group Inc,0.11
ZEN,Zendesk Inc,0.11
NVRO,Nevro Corp,0.11
DRH,DiamondRock Hospitality Co,0.11
ESGR,Enstar Group Ltd,0.11
VSH,Vishay Intertechnology Inc,0.11
ACXM,Acxiom Corp,0.11
LAD,Lithia Motors Inc,0.11
EXAS,Exact Sciences Corp,0.11
AIT,Applied Industrial Technologies Inc,0.11
SMTC,Semtech Corp,0.11
NKTR,Nektar Therapeutics,0.11
KNX,Knight Transportation Inc,0.11
EFII,Electronics For Imaging Inc,0.11
PSB,PS Business Parks Inc,0.11
CPE,Callon Petroleum Co,0.11
BIG,Big Lots Inc,0.11
SFR,COLONY STARWOOD HOMES REIT,0.11
PLCE,Children's Place Inc,0.11
MGEE,MGE Energy Inc,0.11
MATW,Matthews International Corp,0.11
MSA,MSA Safety Inc,0.11
HI,Hillenbrand Inc,0.11
TIVO,TiVo Inc,0.11
TRMK,Trustmark Corp,0.11
UNFI,United Natural Foods Inc,0.11
STMP,Stamps.com Inc,0.11
CATM,Cardtronics Inc,0.11
CHMT,Chemtura Corp,0.11
MOG.A,Moog Inc,0.11
FCFS,First Cash Financial Services Inc,0.11
CMPR,Cimpress NV,0.11
HNI,HNI Corp,0.11
ILG,ILG INC,0.11
SWC,Stillwater Mining Co,0.11
MTDR,Matador Resources Co,0.11
TREX,Trex Co Inc,0.11
DV,DeVry Education Group Inc,0.11
SAGE,Sage Therapeutics Inc,0.11
VAC,Marriott Vacations Worldwide Corp,0.11
DORM,Dorman Products Inc,0.11
HTH,Hilltop Holdings Inc,0.1
CHDN,Churchill Downs Inc,0.1
FIVE,Five Below Inc,0.1
ALGT,Allegiant Travel Co,0.1
LGND,Ligand Pharmaceuticals Inc,0.1
PZZA,Papa John's International Inc,0.1
GVA,Granite Construction Inc,0.1
ROLL,RBC Bearings Inc,0.1
CSOD,Cornerstone OnDemand Inc,0.1
ALEX,Alexander & Baldwin Inc,0.1
STAG,STAG Industrial Inc,0.1
PEB,Pebblebrook Hotel Trust,0.1
IBOC,International Bancshares Corp,0.1
JJSF,J&J Snack Foods Corp,0.1
DGI,DigitalGlobe Inc,0.1
ITRI,Itron Inc,0.1
UNF,UniFirst Corp/MA,0.1
PTLA,Portola Pharmaceuticals Inc,0.1
EVER,EverBank Financial Corp,0.1
UCBI,United Community Banks Inc/GA,0.1
PEN,PENUMBRA INC,0.1
IIVI,II-VI Inc,0.1
EE,El Paso Electric Co,0.1
HAE,Haemonetics Corp,0.1
ZLTQ,Zeltiq Aesthetics Inc,0.1
RXN,Rexnord Corp,0.1
AMN,AMN Healthcare Services Inc,0.1
HQY,HealthEquity Inc,0.1
DBD,Diebold Inc,0.1
WBMD,WebMD Health Corp,0.1
GMED,Globus Medical Inc,0.1
FMBI,First Midwest Bancorp Inc/IL,0.1
RP,RealPage Inc,0.1
HAWK,Blackhawk Network Holdings Inc,0.1
KS,KapStone Paper and Packaging Corp,0.1
AGII,Argo Group International Holdings Ltd,0.1
TSE,Trinseo SA,0.1
UFPI,Universal Forest Products Inc,0.1
MOH,Molina Healthcare Inc,0.1
CVG,Convergys Corp,0.1
AAN,Aaron's Inc,0.1
TIME,Time Inc,0.1
HL,Hecla Mining Co,0.1
AVP,Avon Products Inc,0.1
CVLT,CommVault Systems Inc,0.1
SAFM,Sanderson Farms Inc,0.1
VGR,Vector Group Ltd,0.1
PRTA,PROTHENA PLC,0.1
ATI,Allegheny Technologies Inc,0.1
AF,Astoria Financial Corp,0.1
IMAX,IMAX Corp,0.1
INCR,INC Research Holdings Inc,0.1
BLMN,Bloomin' Brands Inc,0.09
PLXS,Plexus Corp,0.09
TPH,TRI Pointe Group Inc,0.09
FELE,Franklin Electric Co Inc,0.09
GNW,Genworth Financial Inc,0.09
CFFN,Capitol Federal Financial Inc,0.09
MWA,Mueller Water Products Inc,0.09
FDP,Fresh Del Monte Produce Inc,0.09
HUBS,HubSpot Inc,0.09
JNS,Janus Capital Group Inc,0.09
ABCO,Advisory Board Co,0.09
NYT,New York Times Co,0.09
LTXB,LegacyTexas Financial Group Inc,0.09
HYH,Halyard Health Inc,0.09
GK,G&K Services Inc,0.09
SFBS,ServisFirst Bancshares Inc,0.09
SKYW,SkyWest Inc,0.09
MRCY,Mercury Systems Inc,0.09
KFY,Korn/Ferry International,0.09
MLHR,Herman Miller Inc,0.09
EGBN,Eagle Bancorp Inc,0.09
PCH,Potlatch Corp,0.09
BRC,Brady Corp,0.09
POWI,Power Integrations Inc,0.09
PLT,Plantronics Inc,0.09
ARRY,Array BioPharma Inc,0.09
AEL,American Equity Investment Life Holding Co,0.09
TOWN,Towne Bank/Portsmouth VA,0.09
CHS,Chico's FAS Inc,0.09
NXTM,NxStage Medical Inc,0.09
DNOW,NOW Inc,0.09
PSMT,PriceSmart Inc,0.09
SSD,Simpson Manufacturing Co Inc,0.09
MSTR,MicroStrategy Inc,0.09
CRZO,Carrizo Oil & Gas Inc,0.09
AMBA,Ambarella Inc,0.09
KRG,Kite Realty Group Trust,0.09
RNST,Renasant Corp,0.09
KW,Kennedy-Wilson Holdings Inc,0.09
BLD,TopBuild Corp,0.09
LC,LendingClub Corp,0.09
DECK,Deckers Outdoor Corp,0.09
DF,Dean Foods Co,0.09
IPHI,Inphi Corp,0.09
SYNA,Synaptics Inc,0.09
XHR,Xenia Hotels & Resorts Inc,0.09
BANR,Banner Corp,0.09
CCOI,Cogent Communications Holdings Inc,0.09
SBRA,Sabra Health Care REIT Inc,0.09
MRC,MRC Global Inc,0.09
NTGR,NETGEAR Inc,0.09
IVR,Invesco Mortgage Capital Inc,0.09
PCRX,Pacira Pharmaceuticals Inc/DE,0.09
LTC,LTC Properties Inc,0.09
WTS,Watts Water Technologies Inc,0.09
FCN,FTI Consulting Inc,0.09
FFBC,First Financial Bancorp,0.09
BOFI,BofI Holding Inc,0.09
HMN,Horace Mann Educators Corp,0.09
MNRO,Monro Muffler Brake Inc,0.09
MORE,Monogram Residential Trust Inc,0.09
HW,Headwaters Inc,0.08
AAT,American Assets Trust Inc,0.08
KWR,Quaker Chemical Corp,0.08
XPER,XPERI CORP,0.08
NBTB,NBT Bancorp Inc,0.08
CPS,Cooper-Standard Holding Inc,0.08
NWBI,Northwest Bancshares Inc,0.08
BYD,Boyd Gaming Corp,0.08
CRS,Carpenter Technology Corp,0.08
ATU,Actuant Corp,0.08
INDB,Independent Bank Corp/Rockland MA,0.08
SFNC,Simmons First National Corp,0.08
CWT,California Water Service Group,0.08
CCMP,Cabot Microelectronics Corp,0.08
CBL,CBL & Associates Properties Inc,0.08
OIS,Oil States International Inc,0.08
GPI,Group 1 Automotive Inc,0.08
APOG,Apogee Enterprises Inc,0.08
KN,Knowles Corp,0.08
PLKI,Popeyes Louisiana Kitchen Inc,0.08
SFLY,Shutterfly Inc,0.08
MEI,Methode Electronics Inc,0.08
ABCB,Ameris Bancorp,0.08
CBM,Cambrex Corp,0.08
AMC,AMC Entertainment Holdings Inc,0.08
FRME,First Merchants Corp,0.08
AWR,American States Water Co,0.08
KMPR,Kemper Corp,0.08
SIR,Select Income REIT,0.08
NSIT,Insight Enterprises Inc,0.08
WPG,WP GLIMCHER Inc,0.08
SWFT,Swift Transportation Co,0.08
HUBG,Hub Group Inc,0.08
NWN,Northwest Natural Gas Co,0.08
PRAA,PRA Group Inc,0.08
PFS,Provident Financial Services Inc,0.08
SRPT,Sarepta Therapeutics Inc,0.08
BHE,Benchmark Electronics Inc,0.08
KBH,KB Home,0.08
MDR,McDermott International Inc,0.08
MGLN,Magellan Health Inc,0.08
EBIX,Ebix Inc,0.08
GNL,GLOBAL NET LEASE INC,0.08
RNG,RingCentral Inc,0.08
AXL,American Axle & Manufacturing Holdings Inc,0.08
PEGA,Pegasystems Inc,0.08
HMSY,HMS Holdings Corp,0.08
AZZ,AZZ Inc,0.08
WSBC,WesBanco Inc,0.08
CYNO,Cynosure Inc,0.08
DK,Delek US Holdings Inc,0.08
WDFC,WD-40 Co,0.08
IRBT,iRobot Corp,0.08
SCL,Stepan Co,0.08
EXPO,Exponent Inc,0.08
DDD,3D Systems Corp,0.08
UBSH,Union Bankshares Corp,0.08
UVV,Universal Corp/VA,0.08
GDOT,Green Dot Corp,0.07
SCS,Steelcase Inc,0.07
ESE,ESCO Technologies Inc,0.07
MTH,Meritage Homes Corp,0.07
MATX,Matson Inc,0.07
CHSP,Chesapeake Lodging Trust,0.07
ACCO,ACCO Brands Corp,0.07
AERI,Aerie Pharmaceuticals Inc,0.07
BRKS,Brooks Automation Inc,0.07
MTOR,Meritor Inc,0.07
FWRD,Forward Air Corp,0.07
FN,Fabrinet,0.07
NSP,Insperity Inc,0.07
TWOU,2U Inc,0.07
KALU,Kaiser Aluminum Corp,0.07
OTTR,Otter Tail Corp,0.07
AMED,Amedisys Inc,0.07
INN,Summit Hotel Properties Inc,0.07
WABC,Westamerica Bancorporation,0.07
MSGN,MSG NETWORKS INC CLASS A,0.07
SEM,Select Medical Holdings Corp,0.07
THRM,Gentherm Inc,0.07
SSP,EW Scripps Co,0.07
BPFH,Boston Private Financial Holdings Inc,0.07
OMCL,Omnicell Inc,0.07
