IHI,1.62E9
MDT,Medtronic PLC,12.23
ABT,Abbott Laboratories,9.48
TMO,Thermo Fisher Scientific Inc,7.75
DHR,Danaher Corp,6.76
SYK,Stryker Corp,5.59
BDX,Becton Dickinson and Co,5.33
BSX,Boston Scientific Corp,4.79
ISRG,Intuitive Surgical Inc,4.28
BAX,Baxter International Inc,3.87
ZBH,Zimmer Biomet Holdings Inc,3.66
EW,Edwards Lifesciences Corp,3.18
BCR,CR Bard Inc,3.01
IDXX,IDEXX Laboratories Inc,2.46
WAT,Waters Corp,2.26
HOLX,Hologic Inc,2.11
RMD,ResMed Inc,1.89
TFX,Teleflex Inc,1.71
VAR,Varian Medical Systems Inc,1.58
DXCM,DexCom Inc,1.36
STE,STERIS Corp,1.21
ABMD,ABIOMED Inc,1.06
MASI,Masimo Corp,1.03
BIO,Bio-Rad Laboratories Inc,0.98
HRC,Hill-Rom Holdings Inc,0.97
NUVA,NuVasive Inc,0.87
WMGI,Wright Medical Group Inc,0.75
CMD,ProShares UltraShort Bloomberg Commodity,0.67
PODD,Insulet Corp,0.66
IART,Integra LifeSciences Holdings Corp,0.65
BRKR,Bruker Corp,0.65
NVRO,Nevro Corp,0.56
PEN,PENUMBRA INC,0.55
ZLTQ,Zeltiq Aesthetics Inc,0.55
GMED,Globus Medical Inc,0.54
CYNO,Cynosure Inc,0.47
NXTM,NxStage Medical Inc,0.47
OMCL,Omnicell Inc,0.42
INGN,Inogen Inc,0.36
BABY,Natus Medical Inc,0.36
CSII,Cardiovascular Systems Inc,0.29
ALOG,Analogic Corp,0.28
BEAT,BioTelemetry Inc,0.26
KTWO,K2M Group Holdings Inc,0.23
OSUR,OraSure Technologies Inc,0.22
VREX,VAREX IMAGING CORP,0.21
ATRI,Atrion Corp,0.21
ATRC,AtriCure Inc,0.2
GNMK,GenMark Diagnostics Inc,0.2
CRY,CryoLife Inc,0.16
ARAY,Accuray Inc,0.15
IVC,Invacare Corp,0.14
