IJS,5.6199997E9
WTFC,Wintrust Financial Corp,1.07
ALE,ALLETE Inc,0.95
PRA,ProAssurance Corp,0.92
CACI,CACI International Inc,0.88
SR,Standard Register Co,0.87
SANM,Sanmina Corp,0.85
HOPE,HOPE BANCORP INC,0.75
FUL,HB Fuller Co,0.74
AVA,Avista Corp,0.73
SIGI,Selective Insurance Group Inc,0.73
WWW,Wolverine World Wide Inc,0.72
IBKR,Interactive Brokers Group Inc,0.71
ONB,Old National Bancorp/IN,0.7
MDCO,Medicines Co,0.68
DAR,Darling Ingredients Inc,0.68
BCO,Brink's Co,0.67
AXE,Anixter International Inc,0.67
VIAV,VIAVI SOLUTIONS INC,0.66
LAD,Lithia Motors Inc,0.63
FCFS,First Cash Financial Services Inc,0.62
MOG.A,Moog Inc,0.61
CPS,Cooper-Standard Holding Inc,0.58
KS,KapStone Paper and Packaging Corp,0.57
EE,El Paso Electric Co,0.57
UBSI,United Bankshares Inc/WV,0.57
PLXS,Plexus Corp,0.55
SAFM,Sanderson Farms Inc,0.55
AF,Astoria Financial Corp,0.55
SKYW,SkyWest Inc,0.54
AEL,American Equity Investment Life Holding Co,0.53
KFY,Korn/Ferry International,0.53
KRG,Kite Realty Group Trust,0.52
UVV,Universal Corp/VA,0.5
NWN,Northwest Natural Gas Co,0.49
HMN,Horace Mann Educators Corp,0.49
BYD,Boyd Gaming Corp,0.48
HUBG,Hub Group Inc,0.46
PRAA,PRA Group Inc,0.45
PDCE,PDC Energy Inc,0.45
BHE,Benchmark Electronics Inc,0.45
AXL,American Axle & Manufacturing Holdings Inc,0.45
GPI,Group 1 Automotive Inc,0.45
NSIT,Insight Enterprises Inc,0.44
BANR,Banner Corp,0.44
CORE,Core-Mark Holding Co Inc,0.43
CHSP,Chesapeake Lodging Trust,0.42
AKR,Acadia Realty Trust,0.41
TCBI,Texas Capital Bancshares Inc,0.41
AIRM,Air Methods Corp,0.41
KALU,Kaiser Aluminum Corp,0.41
CHE,Chemed Corp,0.41
AMED,Amedisys Inc,0.4
MTH,Meritage Homes Corp,0.4
MATX,Matson Inc,0.4
FLOW,Flow International Corp,0.39
THRM,Gentherm Inc,0.39
SEM,Select Medical Holdings Corp,0.39
LZB,La-Z-Boy Inc,0.39
CAL,CALERES INC,0.39
AAWW,Atlas Air Worldwide Holdings Inc,0.39
RH,Restoration Hardware Holdings Inc,0.38
FIX,Comfort Systems USA Inc,0.38
KAMN,Kaman Corp,0.38
OSIS,OSI Systems Inc,0.38
MYGN,Myriad Genetics Inc,0.37
SSP,EW Scripps Co,0.37
CUB,Cubic Corp,0.37
WNC,Wabash National Corp,0.37
ACOR,Acorda Therapeutics Inc,0.37
ABM,ABM Industries Inc,0.37
SWM,Schweitzer-Mauduit International Inc,0.36
MDC,MDC Holdings Inc,0.36
TILE,Interface Inc,0.36
SXI,Standex International Corp,0.36
ABG,Asbury Automotive Group Inc,0.35
XXIA,Ixia,0.35
EIG,Employers Holdings Inc,0.35
STBA,S&T Bancorp Inc,0.35
TGI,Triumph Group Inc,0.35
NAVG,Navigators Group Inc,0.35
SCHL,Scholastic Corp,0.35
GCO,Genesco Inc,0.35
GBX,Greenbrier Cos Inc,0.34
ASGN,On Assignment Inc,0.34
AKS,AK Steel Holding Corp,0.33
CALM,Cal-Maine Foods Inc,0.33
RLI,RLI Corp,0.33
HI,Hillenbrand Inc,0.33
TBI,TrueBlue Inc,0.33
SYKE,Sykes Enterprises Inc,0.33
B,Barnes Group Inc,0.32
GWB,Great Western Bancorp Inc,0.32
EFII,Electronics For Imaging Inc,0.32
ITGR,INTEGER HOLDINGS CORP,0.31
GIII,G-III Apparel Group Ltd,0.31
IPCC,Infinity Property & Casualty Corp,0.31
BCC,Boise Cascade Co,0.31
CYH,Community Health Systems Inc,0.31
AIR,AAR Corp,0.31
HCSG,Healthcare Services Group Inc,0.31
COLB,Columbia Banking System Inc,0.31
CBU,Community Bank System Inc,0.3
DRH,DiamondRock Hospitality Co,0.3
CNMD,CONMED Corp,0.3
CKH,SEACOR Holdings Inc,0.3
SPXC,SPX Corp,0.3
BANC,Banc of California Inc,0.3
STC,Stewart Information Services Corp,0.29
MHLD,Maiden Holdings Ltd,0.29
NKTR,Nektar Therapeutics,0.29
RGR,Sturm Ruger & Co Inc,0.29
SCSC,ScanSource Inc,0.29
ANDE,Andersons Inc,0.29
MNRO,Monro Muffler Brake Inc,0.29
UFPI,Universal Forest Products Inc,0.29
CMO,Capstead Mortgage Corp,0.29
RMAX,RE/MAX Holdings Inc,0.28
HAE,Haemonetics Corp,0.28
CVBF,CVB Financial Corp,0.28
CVCO,Cavco Industries Inc,0.28
GOV,Government Properties Income Trust,0.28
WIRE,Encore Wire Corp,0.28
SMP,Standard Motor Products Inc,0.28
RRD,RR Donnelley & Sons Co,0.27
GLT,PH Glatfelter Co,0.27
GCI,Gannett Co Inc,0.27
BGG,Briggs & Stratton Corp,0.27
MANT,ManTech International Corp/VA,0.27
IART,Integra LifeSciences Holdings Corp,0.27
DIOD,Diodes Inc,0.27
MTSC,MTS Systems Corp,0.26
JJSF,J&J Snack Foods Corp,0.26
SVU,SUPERVALU Inc,0.26
CLW,Clearwater Paper Corp,0.26
VRTU,Virtusa Corp,0.25
ATU,Actuant Corp,0.25
UNF,UniFirst Corp/MA,0.25
ILG,ILG INC,0.25
SRCI,SRC ENERGY INC,0.25
FSS,Federal Signal Corp,0.25
SAFT,Safety Insurance Group Inc,0.25
HQY,HealthEquity Inc,0.25
EXTN,EXTERRAN CORP,0.24
SBRA,Sabra Health Care REIT Inc,0.24
