IJT,5.1500001E9
TTWO,Take-Two Interactive Software Inc,1.55
COHR,Coherent Inc,1.24
MASI,Masimo Corp,1.11
MKSI,MKS Instruments Inc,0.95
BLKB,Blackbaud Inc,0.94
HOMB,Home BancShares Inc/AR,0.9
SLCA,US Silica Holdings Inc,0.88
EVR,Evercore Partners Inc,0.82
MDSO,Medidata Solutions Inc,0.82
STL,Sterling Bancorp/DE,0.82
PNFP,Pinnacle Financial Partners Inc,0.8
COR,CoreSite Realty Corp,0.78
WAGE,WageWorks Inc,0.74
CMD,ProShares UltraShort Bloomberg Commodity,0.74
FFIN,First Financial Bankshares Inc,0.72
BGS,B&G Foods Inc,0.72
TCBI,Texas Capital Bancshares Inc,0.72
BCPC,Balchem Corp,0.7
AEIS,Advanced Energy Industries Inc,0.7
SJI,South Jersey Industries Inc,0.7
HA,Hawaiian Holdings Inc,0.69
JBT,John Bean Technologies Corp,0.68
LCII,LCI INDUSTRIES,0.67
NGVT,INGEVITY CORP,0.65
LITE,Lumentum Holdings Inc,0.65
NEOG,Neogen Corp,0.64
DORM,Dorman Products Inc,0.63
EGP,EastGroup Properties Inc,0.61
ICUI,ICU Medical Inc,0.6
TTEK,Tetra Tech Inc,0.59
PLAY,Dave & Buster's Entertainment Inc,0.58
TIVO,TiVo Inc,0.57
KNX,Knight Transportation Inc,0.57
LXP,Lexington Realty Trust,0.56
FIVE,Five Below Inc,0.55
PLCE,Children's Place Inc,0.55
CATM,Cardtronics Inc,0.55
TREX,Trex Co Inc,0.55
STMP,Stamps.com Inc,0.54
HCSG,Healthcare Services Group Inc,0.54
ALGT,Allegiant Travel Co,0.54
PDCE,PDC Energy Inc,0.54
LGND,Ligand Pharmaceuticals Inc,0.53
UCBI,United Community Banks Inc/GA,0.52
ITRI,Itron Inc,0.52
AMN,AMN Healthcare Services Inc,0.52
ZLTQ,Zeltiq Aesthetics Inc,0.52
POWI,Power Integrations Inc,0.5
GBCI,Glacier Bancorp Inc,0.48
GK,G&K Services Inc,0.48
MRCY,Mercury Systems Inc,0.48
IIVI,II-VI Inc,0.47
SFBS,ServisFirst Bancshares Inc,0.46
BLD,TopBuild Corp,0.45
HW,Headwaters Inc,0.45
LTXB,LegacyTexas Financial Group Inc,0.45
KWR,Quaker Chemical Corp,0.45
SSD,Simpson Manufacturing Co Inc,0.45
ABCB,Ameris Bancorp,0.44
AAT,American Assets Trust Inc,0.44
CCMP,Cabot Microelectronics Corp,0.44
CCOI,Cogent Communications Holdings Inc,0.44
NSP,Insperity Inc,0.44
CWT,California Water Service Group,0.43
XPER,XPERI CORP,0.43
BOFI,BofI Holding Inc,0.43
IART,Integra LifeSciences Holdings Corp,0.43
PLKI,Popeyes Louisiana Kitchen Inc,0.42
VAC,Marriott Vacations Worldwide Corp,0.42
SFLY,Shutterfly Inc,0.41
AIT,Applied Industrial Technologies Inc,0.41
CHE,Chemed Corp,0.41
IRBT,iRobot Corp,0.41
CYNO,Cynosure Inc,0.41
HMSY,HMS Holdings Corp,0.4
UBSI,United Bankshares Inc/WV,0.4
ROIC,Retail Opportunity Investments Corp,0.4
MATW,Matthews International Corp,0.4
NTRI,Nutrisystem Inc,0.39
GWB,Great Western Bancorp Inc,0.39
OLLI,Ollie's Bargain Outlet Holdings Inc,0.39
FN,Fabrinet,0.38
CBU,Community Bank System Inc,0.38
AKS,AK Steel Holding Corp,0.38
FNGN,Financial Engines Inc,0.38
INN,Summit Hotel Properties Inc,0.37
RMBS,Rambus Inc,0.37
ESE,ESCO Technologies Inc,0.37
MDCO,Medicines Co,0.37
AAON,AAON Inc,0.37
B,Barnes Group Inc,0.37
PSB,PS Business Parks Inc,0.37
OMCL,Omnicell Inc,0.37
SMTC,Semtech Corp,0.36
EBIX,Ebix Inc,0.36
PRGS,Progress Software Corp,0.36
SUPN,Supernus Pharmaceuticals Inc,0.36
NKTR,Nektar Therapeutics,0.36
SWC,Stillwater Mining Co,0.35
TTMI,TTM Technologies Inc,0.35
MMSI,Merit Medical Systems Inc,0.35
CVBF,CVB Financial Corp,0.35
BRC,Brady Corp,0.35
EGOV,NIC Inc,0.34
ROCK,Gibraltar Industries Inc,0.33
EGHT,8x8 Inc,0.33
FCPT,FOUR CORNERS PROPERTY INC TRUST,0.33
SHOO,Steven Madden Ltd,0.33
PRLB,Proto Labs Inc,0.33
ADC,Agree Realty Corp,0.32
SPTN,SpartanNash Co,0.31
COLB,Columbia Banking System Inc,0.31
TASR,TASER International Inc,0.31
UNF,UniFirst Corp/MA,0.31
ASTE,Astec Industries Inc,0.31
ABM,ABM Industries Inc,0.3
HI,Hillenbrand Inc,0.3
LTC,LTC Properties Inc,0.3
ASGN,On Assignment Inc,0.3
VREX,VAREX IMAGING CORP,0.3
DRH,DiamondRock Hospitality Co,0.3
WD,Walker & Dunlop Inc,0.29
RLI,RLI Corp,0.29
RGEN,Repligen Corp,0.29
FMBI,First Midwest Bancorp Inc/IL,0.29
CBM,Cambrex Corp,0.29
INDB,Independent Bank Corp/Rockland MA,0.29
JJSF,J&J Snack Foods Corp,0.29
FFBC,First Financial Bancorp,0.29
ILG,ILG INC,0.28
HQY,HealthEquity Inc,0.28
EFII,Electronics For Imaging Inc,0.28
SNCR,Synchronoss Technologies Inc,0.28
SGMS,Scientific Games Corp,0.28
NCI,Navigant Consulting Inc,0.28
AKR,Acadia Realty Trust,0.28
NWBI,Northwest Bancshares Inc,0.28
ECOL,US Ecology Inc,0.27
NBTB,NBT Bancorp Inc,0.27
ROG,Rogers Corp,0.27
SCAI,Surgical Care Affiliates Inc,0.27
HAE,Haemonetics Corp,0.26
BEL,Belmond Ltd,0.26
BMI,Badger Meter Inc,0.26
PATK,Patrick Industries Inc,0.26
TMP,Tompkins Financial Corp,0.26
HAFC,Hanmi Financial Corp,0.26
NTGR,NETGEAR Inc,0.26
CFNL,Cardinal Financial Corp,0.26
IBP,Installed Building Products Inc,0.26
EXPO,Exponent Inc,0.26
AZZ,AZZ Inc,0.26
UFPI,Universal Forest Products Inc,0.26
CTRE,CareTrust REIT Inc,0.26
QLYS,Qualys Inc,0.26
MSTR,MicroStrategy Inc,0.25
PJC,Piper Jaffray Cos,0.25
WDFC,WD-40 Co,0.25
APOG,Apogee Enterprises Inc,0.25
UEIC,Universal Electronics Inc,0.25
AJRD,Aerojet Rocketdyne Holdings Inc,0.25
EXLS,ExlService Holdings Inc,0.25
FWRD,Forward Air Corp,0.25
SPSC,SPS Commerce Inc,0.25
WTS,Watts Water Technologies Inc,0.25
SCL,Stepan Co,0.25
INVA,INNOVIVA INC,0.25
CPF,Central Pacific Financial Corp,0.24
CRZO,Carrizo Oil & Gas Inc,0.24
SFNC,Simmons First National Corp,0.24
USPH,US Physical Therapy Inc,0.24
CPLA,Capella Education Co,0.24
VVI,Viad Corp,0.24
MEI,Methode Electronics Inc,0.23
CVGW,Calavo Growers Inc,0.23
CUBI,Customers Bancorp Inc,0.23
LDL,Lydall Inc,0.23
KRA,Kraton Performance Polymers Inc,0.23
FBP,First BanCorp/Puerto Rico,0.23
SBSI,Southside Bancshares Inc,0.23
SBRA,Sabra Health Care REIT Inc,0.23
MNTA,Momenta Pharmaceuticals Inc,0.23
TREE,LendingTree Inc,0.22
MDXG,MiMedx Group Inc,0.22
WABC,Westamerica Bancorporation,0.22
PFS,Provident Financial Services Inc,0.22
NBHC,National Bank Holdings Corp,0.22
FELE,Franklin Electric Co Inc,0.21
NP,Neenah Paper Inc,0.21
UVE,Universal Insurance Holdings Inc,0.21
PGNX,Progenics Pharmaceuticals Inc,0.21
NFBK,Northfield Bancorp Inc,0.21
TNC,Tennant Co,0.21
BPFH,Boston Private Financial Holdings Inc,0.2
ATU,Actuant Corp,0.2
WGO,Winnebago Industries Inc,0.2
AIN,Albany International Corp,0.2
WWE,World Wrestling Entertainment Inc,0.2
AMAG,AMAG Pharmaceuticals Inc,0.2
CSGS,CSG Systems International Inc,0.2
MNRO,Monro Muffler Brake Inc,0.2
SSTK,Shutterstock Inc,0.2
AWR,American States Water Co,0.2
FCF,First Commonwealth Financial Corp,0.2
FOXF,Fox Factory Holding Corp,0.2
BEAT,BioTelemetry Inc,0.19
CNSL,Consolidated Communications Holdings Inc,0.19
MGLN,Magellan Health Inc,0.19
KLIC,KULICKE AND SOFFA INDUSTRIES INC,0.19
GDOT,Green Dot Corp,0.19
WING,Wingstop Inc,0.19
IPHS,Innophos Holdings Inc,0.19
CEVA,CEVA Inc,0.19
IOSP,Innospec Inc,0.19
INGN,Inogen Inc,0.19
SRCI,SRC ENERGY INC,0.19
BRKS,Brooks Automation Inc,0.19
AMSF,AMERISAFE Inc,0.19
NANO,Nanometrics Inc,0.18
NPO,EnPro Industries Inc,0.18
CTS,CTS Corp,0.18
GFF,Griffon Corp,0.18
HF,HFF Inc,0.18
NX,Quanex Building Products Corp,0.17
BRKL,Brookline Bancorp Inc,0.17
RTEC,Rudolph Technologies Inc,0.17
