KIE,7.7482003E8
PGR,Progressive Corp,2.53
ALL,Allstate Corp,2.45
WRB,WR Berkley Corp,2.42
RNR,RenaissanceRe Holdings Ltd,2.42
AJG,Arthur J Gallagher & Co,2.42
ACGL,Arch Capital Group Ltd,2.39
UNM,Unum Group,2.38
RE,Everest Re Group Ltd,2.38
MKL,Markel Corp,2.37
ORI,Old Republic International Corp,2.36
FNF,FNF Group,2.35
PRI,Primerica Inc,2.35
XL,XL Group PLC,2.33
AXS,Axis Capital Holdings Ltd,2.32
AIZ,Assurant Inc,2.31
MMC,Marsh & McLennan Cos Inc,2.3
TMK,Torchmark Corp,2.3
PFG,Principal Financial Group Inc,2.28
WLTW,Willis Towers Watson Public Limited Company,2.28
AON,Aon PLC,2.27
FAF,First American Financial Corp,2.26
Y,Alleghany Corp,2.26
PRU,Prudential Financial Inc,2.26
CNO,CNO Financial Group Inc,2.25
AFL,Aflac Inc,2.25
CB,Chubb Corp,2.24
TRV,Travelers Cos Inc,2.22
HIG,Hartford Financial Services Group Inc,2.22
VR,Validus Holdings Ltd,2.21
LNC,Lincoln National Corp,2.18
RGA,Reinsurance Group of America Inc,2.17
L,Loews Corp,2.16
ENH,Endurance Specialty Holdings Ltd,2.16
AGO,Assured Guaranty Ltd,2.14
BRO,Brown & Brown Inc,2.11
AIG,American International Group Inc,2.07
CINF,Cincinnati Financial Corp,2.07
GNW,Genworth Financial Inc,2.04
AFG,American Financial Group Inc/OH,2.02
MET,MetLife Inc,2.01
THG,Hanover Insurance Group Inc,1.73
AWH,Allied World Assurance Co Holdings AG,1.71
AFSI,AmTrust Financial Services Inc,1.28
AHL,Aspen Insurance Holdings Ltd,1.24
AEL,American Equity Investment Life Holding Co,0.97
RLI,RLI Corp,0.91
MCY,Mercury General Corp,0.65
PRA,ProAssurance Corp,0.57
46729666,SSC GOVERNMENT MM GVXX STIF USD,0.22
Identifier,Name,0.0
CASH_USD,U.S. Dollar,0.0
