XLK,2.17299988E10
AAPL,Apple Inc,15.01
MSFT,Microsoft Corp,10.09
FB,Facebook Inc,6.55
T,AT&T Inc,5.24
GOOG,Google Inc,5.04
CSCO,Cisco Systems Inc,3.45
V,Visa Inc,3.38
VZ,Verizon Communications Inc,3.38
INTC,Intel Corp,3.34
IBM,International Business Machines Corp,3.06
ORCL,Oracle Corp,2.59
MA,MasterCard Inc,2.15
AVGO,Avago Technologies Ltd,1.81
QCOM,QUALCOMM Inc,1.74
TXN,Texas Instruments Inc,1.65
ACN,Accenture PLC,1.56
ADBE,Adobe Systems Inc,1.23
NVDA,NVIDIA Corp,1.13
CRM,salesforce.com inc,1.08
PYPL,PayPal Holdings Inc,0.96
ADP,Automatic Data Processing Inc,0.96
AMAT,Applied Materials Inc,0.86
YHOO,Yahoo! Inc,0.82
HPE,Hewlett Packard Enterprise Co.,0.77
CTSH,Cognizant Technology Solutions Corp,0.73
EBAY,eBay Inc,0.7
ATVI,Activision Blizzard Inc,0.69
ADI,Analog Devices Inc,0.63
HPQ,Hewlett-Packard Co,0.62
INTU,Intuit Inc,0.62
MU,Micron Technology Inc,0.56
TEL,TE Connectivity Ltd,0.56
EA,Electronic Arts Inc,0.56
FIS,Fidelity National Information Services Inc,0.55
GLW,Corning Inc,0.53
FISV,Fiserv Inc,0.52
WDC,Western Digital Corp,0.45
APH,Amphenol Corp,0.45
LRCX,Lam Research Corp,0.42
PAYX,Paychex Inc,0.41
SYMC,Symantec Corp,0.4
SWKS,Skyworks Solutions Inc,0.38
ADSK,Autodesk Inc,0.36
LVLT,Level 3 Communications Inc,0.35
MCHP,Microchip Technology Inc,0.34
XLNX,Xilinx Inc,0.32
RHT,Red Hat Inc,0.31
STX,Seagate Technology PLC,0.3
46729666,SSC GOVERNMENT MM GVXX STIF USD,0.3
KLAC,KLA-Tencor Corp,0.3
MSI,Motorola Solutions Inc,0.29
HRS,Harris Corp,0.29
ADS,Alliance Data Systems Corp,0.29
CTXS,Citrix Systems Inc,0.27
CTL,CenturyLink Inc,0.27
GPN,Global Payments Inc,0.25
NTAP,NetApp Inc,0.25
AKAM,Akamai Technologies Inc,0.23
JNPR,Juniper Networks Inc,0.23
SNPS,Synopsys Inc,0.21
CA,CA Inc,0.21
FFIV,F5 Networks Inc,0.2
WU,Western Union Co,0.2
QRVO,Qorvo Inc,0.19
TSS,Total System Services Inc,0.19
VRSN,VeriSign Inc,0.17
XRX,Xerox Corp,0.13
FLIR,FLIR Systems Inc,0.11
CSRA,CSRA Inc.,0.1
TDC,Teradata Corp,0.09
FTR,Frontier Communications Corp,0.06
FSLR,First Solar Inc,0.05
CASH_USD,U.S. Dollar,0.02
Identifier,Name,0.0
