XBI,5.0500004E9
CLVS,Clovis Oncology Inc,3.89
KITE,Kite Pharma Inc,3.59
INCY,Incyte Corp,2.99
ACAD,ACADIA Pharmaceuticals Inc,2.81
BLUE,Bluebird Bio Inc,2.77
EXEL,Exelixis Inc,2.67
EXAS,Exact Sciences Corp,2.67
ALNY,Alnylam Pharmaceuticals Inc,2.53
AMGN,Amgen Inc,2.51
VRTX,Vertex Pharmaceuticals Inc,2.43
ICPT,Intercept Pharmaceuticals Inc,2.34
TSRO,TESARO Inc,2.31
BMRN,BioMarin Pharmaceutical Inc,2.2
CELG,Celgene Corp,2.2
RARE,Ultragenyx Pharmaceutical Inc,2.19
UTHR,United Therapeutics Corp,2.18
PBYI,Puma Biotechnology Inc,2.18
JUNO,Juno Therapeutics Inc,2.13
ABBV,AbbVie Inc,2.13
REGN,Regeneron Pharmaceuticals Inc,2.1
ALKS,Alkermes Plc,2.04
SGEN,Seattle Genetics Inc,2.04
BIIB,Biogen Inc,2.0
NBIX,Neurocrine Biosciences Inc,1.92
SRPT,Sarepta Therapeutics Inc,1.91
GILD,Gilead Sciences Inc,1.85
ALXN,Alexion Pharmaceuticals Inc,1.82
IONS,Ionis Pharmaceuticals Inc.,1.79
RDUS,Radius Health Inc,1.76
AGIO,Agios Pharmaceuticals Inc,1.59
LGND,Ligand Pharmaceuticals Inc,1.59
MYGN,Myriad Genetics Inc,1.52
PTLA,Portola Pharmaceuticals Inc,1.47
SAGE,Sage Therapeutics Inc,1.44
EGRX,Eagle Pharmaceuticals Inc/DE,1.31
ARRY,Array BioPharma Inc,1.3
ONCE,Spark Therapeutics Inc,1.17
AVXS,AveXis Inc.,1.12
OPK,OPKO Health Inc,1.01
XON,Intrexon Corp,0.95
IRWD,Ironwood Pharmaceuticals Inc,0.92
HALO,Halozyme Therapeutics Inc,0.89
PRTA,Prothena Corp. Plc,0.89
FOLD,Amicus Therapeutics Inc,0.75
ALDR,Alder Biopharmaceuticals Inc,0.74
NVAX,Novavax Inc,0.73
ACOR,Acorda Therapeutics Inc,0.71
FPRX,Five Prime Therapeutics Inc,0.63
SGYP,Synergy Pharmaceuticals Inc,0.56
AMAG,AMAG Pharmaceuticals Inc,0.51
BPMC,Blueprint Medicines Corp,0.5
EBS,Emergent BioSolutions Inc,0.46
ACHN,Achillion Pharmaceuticals Inc,0.43
HRTX,Heron Therapeutics Inc,0.42
XLRN,Acceleron Pharma Inc,0.42
LXRX,Lexicon Pharmaceuticals Inc,0.41
ZIOP,ZIOPHARM Oncology Inc,0.41
VNDA,Vanda Pharmaceuticals Inc,0.4
RGEN,Repligen Corp,0.38
FGEN,FibroGen Inc,0.38
RTRX,Retrophin Inc,0.37
MACK,Merrimack Pharmaceuticals Inc,0.36
CHRS,Coherus Biosciences Inc,0.34
PGNX,Progenics Pharmaceuticals Inc,0.34
INO,Inovio Pharmaceuticals Inc,0.32
AGEN,Agenus Inc,0.32
CLDX,Celldex Therapeutics Inc,0.3
KERX,Keryx Biopharmaceuticals Inc,0.29
MDXG,MiMedx Group Inc,0.25
GHDX,Genomic Health Inc,0.24
MNTA,Momenta Pharmaceuticals Inc,0.23
BCRX,BioCryst Pharmaceuticals Inc,0.22
ENTA,Enanta Pharmaceuticals Inc,0.2
XNCR,Xencor Inc,0.2
INSM,Insmed Inc,0.19
EPZM,Epizyme Inc,0.18
MGNX,MacroGenics Inc,0.18
BIVV,Bioverativ Inc.,0.17
ATRA,Atara Biotherapeutics Inc,0.14
CYTK,Cytokinetics Inc,0.14
GERN,Geron Corp,0.13
OPHT,Ophthotech Corp,0.12
AIMT,Aimmune Therapeutics Inc,0.12
ARNA,Arena Pharmaceuticals Inc,0.1
OTIC,Otonomy Inc,0.06
46729666,SSC GOVERNMENT MM GVXX STIF USD,0.06
267CVR99,DYAX CORP COMMON STOCK USD,0.02
AQB,AquaBounty Technologies Inc,0.0
Identifier,Name,0.0
CASH_USD,U.S. Dollar,0.0
