PJP,6.7643002E8
CELG,Celgene Corp,5.39
JNJ,Johnson & Johnson,5.38
AMGN,Amgen Inc,5.33
BMY,Bristol-Myers Squibb Co,5.25
PFE,Pfizer Inc,5.16
GILD,Gilead Sciences Inc,5.01
MRK,Merck & Co Inc,4.99
AGN,Allergan plc,4.95
HRTX,Heron Therapeutics Inc,4.36
LGND,Ligand Pharmaceuticals Inc,4.3
AKRX,Akorn Inc,4.27
MDCO,Medicines Co,4.26
LLY,Eli Lilly & Co,4.23
BAX,Baxter International Inc,4.2
BIIB,Biogen Inc,4.17
MYL,Mylan NV,4.11
PBH,Prestige Brands Holdings Inc,4.07
ABT,Abbott Laboratories,4.05
DEPO,Depomed Inc,3.9
LCI,Lannett Co Inc,3.79
PRGO,Perrigo Co PLC,3.41
VRX,Valeant Pharmaceuticals International Inc,2.7
IPXL,Impax Laboratories Inc,2.61
