VIOO,7.9831002E8
TTWO,Take-Two Interactive Software Inc,0.64
SLCA,US Silica Holdings Inc,0.58
PDCE,PDC Energy Inc,0.57
TCBI,Texas Capital Bancshares Inc,0.55
COHR,Coherent Inc,0.53
WTFC,Wintrust Financial Corp,0.51
UBSI,United Bankshares Inc/WV,0.5
MKSI,MKS Instruments Inc,0.48
HOMB,Home BancShares Inc/AR,0.46
MASI,Masimo Corp,0.45
ALE,ALLETE Inc,0.44
BLKB,Blackbaud Inc,0.43
STL,Sterling Bancorp/DE,0.43
GEO,GEO Group Inc,0.43
PNFP,Pinnacle Financial Partners Inc,0.42
EVR,Evercore Partners Inc,0.41
CACI,CACI International Inc,0.41
SR,Standard Register Co,0.41
BGS,B&G Foods Inc,0.4
COR,CoreSite Realty Corp,0.4
PRA,ProAssurance Corp,0.4
HCSG,Healthcare Services Group Inc,0.39
SANM,Sanmina Corp,0.39
FFIN,First Financial Bankshares Inc,0.38
CMD,ProShares UltraShort Bloomberg Commodity,0.38
LOGM,LogMeIn Inc,0.38
HA,Hawaiian Holdings Inc,0.37
GBCI,Glacier Bancorp Inc,0.37
MDSO,Medidata Solutions Inc,0.37
BCPC,Balchem Corp,0.37
LCII,LCI INDUSTRIES,0.37
CHE,Chemed Corp,0.37
HOPE,HOPE BANCORP INC,0.36
WAGE,WageWorks Inc,0.36
SJI,South Jersey Industries Inc,0.36
CBU,Community Bank System Inc,0.35
AKR,Acadia Realty Trust,0.35
IBKR,Interactive Brokers Group Inc,0.35
AKS,AK Steel Holding Corp,0.35
JBT,John Bean Technologies Corp,0.34
GWB,Great Western Bancorp Inc,0.34
MDCO,Medicines Co,0.34
IART,Integra LifeSciences Holdings Corp,0.34
TTEK,Tetra Tech Inc,0.34
NEOG,Neogen Corp,0.34
FUL,HB Fuller Co,0.34
AVA,Avista Corp,0.34
CATM,Cardtronics Inc,0.34
AXE,Anixter International Inc,0.33
LAD,Lithia Motors Inc,0.33
SIGI,Selective Insurance Group Inc,0.33
B,Barnes Group Inc,0.33
ONB,Old National Bancorp/IN,0.33
AIT,Applied Industrial Technologies Inc,0.32
NGVT,INGEVITY CORP,0.32
AEIS,Advanced Energy Industries Inc,0.32
