IXJ,1.79E9
JNJ,Johnson & Johnson,8.27
PFE,Pfizer Inc,4.95
NOVN,Novartis AG,4.63
ROG,Roche Holding AG,4.24
MRK,Merck & Co Inc,4.2
UNH,UnitedHealth Group Inc,3.85
AMGN,Amgen Inc,3.2
MDT,Medtronic PLC,2.69
ABBV,AbbVie Inc,2.55
SAN,Sanofi,2.42
GSK.LS,GlaxoSmithKline PLC,2.36
CELG,Celgene Corp,2.31
BMY,Bristol-Myers Squibb Co,2.27
BAYN,Bayer AG,2.2
GILD,Gilead Sciences Inc,2.12
LLY,Eli Lilly & Co,1.96
AGN,Allergan plc,1.9
ABT,Abbott Laboratories,1.84
AZN.LS,AstraZeneca PLC,1.74
BIIB,Biogen Inc,1.5
TMO,Thermo Fisher Scientific Inc,1.5
NOVOB,Novo Nordisk A/S,1.47
SHP.LS,Shire PLC,1.25
DHR,Danaher Corp,1.25
AET,Aetna Inc,1.1
ANTM,Anthem Inc,1.04
CSL.AX,CSL Ltd,1.01
SYK,Stryker Corp,0.97
ESRX,Express Scripts Holding Co,0.96
CI,Cigna Corp,0.93
BDX,Becton Dickinson and Co,0.92
4502,Takeda Pharmaceutical Co Ltd,0.82
BSX,Boston Scientific Corp,0.79
HUM,Humana Inc,0.77
FRE,Fresenius SE & Co KGaA,0.74
MCK,McKesson Corp,0.74
REGN,Regeneron Pharmaceuticals Inc,0.71
ATLN,Actelion Ltd,0.69
ISRG,Intuitive Surgical Inc,0.68
4503,Astellas Pharma Inc,0.66
ALXN,Alexion Pharmaceuticals Inc,0.64
CAH,Cardinal Health Inc,0.63
ZTS,Zoetis Inc,0.63
INCY,Incyte Corp,0.63
4578,Otsuka Holdings Co Ltd,0.61
BAX,Baxter International Inc,0.6
HCA,HCA Holdings Inc,0.58
ILMN,Illumina Inc,0.57
ZBH,Zimmer Biomet Holdings Inc,0.56
EI,Essilor International SA,0.55
VRTX,Vertex Pharmaceuticals Inc,0.55
EW,Edwards Lifesciences Corp,0.47
MYL,Mylan NV,0.46
7741,Hoya Corp,0.43
BCR,CR Bard Inc,0.43
FME,Fresenius Medical Care AG & Co KGaA,0.42
A,Agilent Technologies Inc,0.41
CERN,Cerner Corp,0.39
4523,Eisai Co Ltd,0.37
4507,Shionogi & Co Ltd,0.35
4568,Daiichi Sankyo Co Ltd,0.35
ABC,AmerisourceBergen Corp,0.35
LH,Laboratory Corp of America Holdings,0.35
XRAY,DENTSPLY International Inc,0.34
MRK,Merck KGaA,0.33
HSIC,Henry Schein Inc,0.32
DGX,Quest Diagnostics Inc,0.32
SN.LS,Smith & Nephew PLC,0.32
IDXX,IDEXX Laboratories Inc,0.32
WAT,Waters Corp,0.3
MTD,Mettler-Toledo International Inc,0.29
GEN,Genmab A/S,0.29
4543,Terumo Corp,0.28
HOLX,Hologic Inc,0.27
CNC,Centene Corp,0.27
4528,Ono Pharmaceutical Co Ltd,0.26
DVA,DaVita HealthCare Partners Inc,0.25
UHS,Universal Health Services Inc,0.25
LONN,Lonza Group AG,0.24
PRGO,Perrigo Co PLC,0.23
6869,Sysmex Corp,0.23
UCB,UCB SA,0.22
COO,Cooper Cos Inc,0.22
VAR,Varian Medical Systems Inc,0.19
COLOB,Coloplast A/S,0.18
EVHC,Envision Healthcare Holdings Inc,0.17
4519,Chugai Pharmaceutical Co Ltd,0.17
QIA,QIAGEN NV,0.16
SHL.AX,Sonic Healthcare Ltd,0.15
PKI,PerkinElmer Inc,0.14
RHC.AX,Ramsay Health Care Ltd,0.14
COH.AX,Cochlear Ltd,0.13
MNK,Mallinckrodt PLC,0.12
4581,Taisho Pharmaceutical Holdings Co Ltd,0.1
PDCO,Patterson Cos Inc,0.09
VRX,Valeant Pharmaceuticals International Inc,0.07
